职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
行政专员,深圳市星高国际货运代理有限公司,,大专,1-3年,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/148314363250211.htm
光学成像设计  视觉工程师,上海原拓电子有限公司,,不限,,6001-8000元/月,20人,,http://jobs.zhaopin.com/262912920250162.htm
区域销售经理（深圳）,深圳中天银河科技有限公司,,大专,3-5年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/164781410250050.htm
技术专家-高级工程师,深圳市先创数字技术有限公司,,不限,,15000-25000元/月,100-499人,,http://jobs.zhaopin.com/130455223250365.htm
技术部部门经理（售前）,深圳市先创数字技术有限公司,,本科,5-10年,25000-40000元/月,100-499人,,http://jobs.zhaopin.com/130455223250364.htm
Web开发工程师,深圳宜诺科技有限责任公司,,大专,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/591221428250050.htm
销售工程师-深圳-印刷,北京大恒图像视觉有限公司,,大专,1-3年,8000-15000元/月,500-999人,,http://jobs.zhaopin.com/300647816250043.htm
销售工程师-深圳,北京大恒图像视觉有限公司,,大专,1-3年,8000-15000元/月,500-999人,,http://jobs.zhaopin.com/300647816250064.htm
DSP硬件设计工程师,深圳市易芯顺电子有限公司,,本科,3-5年,8000-15000元/月,20-99人,,http://jobs.zhaopin.com/622062425250112.htm
视觉软件工程师,深圳市昇茂科技有限公司,,本科,3-5年,12000-20000元/月,100-499人,,http://jobs.zhaopin.com/580911523250026.htm
微信公众号营运专员,深圳市万全智能技术有限公司,,大专,1年,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/352365510250117.htm
平面/美工设计师,深圳市腾信互联科技有限公司,,大专,1年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/288413337250536.htm
QT软件工程师,深圳华龙讯达信息技术股份有限公司,,大专,1-3年,8000-12000元/月,100-499人,,http://jobs.zhaopin.com/394608410250691.htm
UI设计 UE设计(CDSW0401),诚点(上海)网络科技有限公司,,大专,1-3年,6000-8000元/月,100-499人,,http://jobs.zhaopin.com/458908280250384.htm
软件开发工程师,深圳市燕麦科技股份有限公司,,本科,3-5年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/483288421250054.htm
软件工程师,深圳市讯泉科技有限公司,,不限,3-5年,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/419847813250027.htm
机器视觉工程师,深圳源明杰科技股份有限公司,,大专,3-5年,10001-15000元/月,100-499人,,http://jobs.zhaopin.com/228317228250306.htm
音视频软件开发工程师,上海赛连信息科技有限公司北京分公司,,不限,,10000-20000元/月,100-499人,,http://jobs.zhaopin.com/465369980250079.htm
硬件开发工程师,深圳市埃微信息技术有限公司,,本科,5-10年,9000-15000元/月,20-99人,,http://jobs.zhaopin.com/CZ728396040J00011065605.htm
VC++/Windows软件研发工程师,卡莱特(深圳)云科技有限公司,,本科,1-3年,8001-10000元/月,100-499人,,http://jobs.zhaopin.com/462571415250123.htm
美工,深圳市雅绅特电器有限公司,,不限,,4001-6000元/月,100-499人,,http://jobs.zhaopin.com/228877013250005.htm
项目经理,深圳市天歌智能科技有限公司,,大专,3-5年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/CZ743335340J00049145101.htm
项目工程师,深圳市天歌智能科技有限公司,,大专,1-3年,4001-6000元/月,20-99人,,http://jobs.zhaopin.com/CZ743335340J00049145601.htm
机械视觉算法工程师,深圳市品印宝智能科技有限公司,,大专,3-5年,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/660943229250068.htm
视觉软件工程师,深圳市品印宝智能科技有限公司,,本科,3-5年,10001-15000元/月,20-99人,,http://jobs.zhaopin.com/660943229250046.htm
修图师/PS,深圳市东宫顶视文化传播有限公司,,不限,,4000-8000元/月,20人,,http://jobs.zhaopin.com/306308530250056.htm
电商美工,深圳大河贞宝有限公司,,大专,1-3年,6001-8000元/月,20-99人,,http://jobs.zhaopin.com/268984034250043.htm
机器人控制研发工程师,富士康科技集团,,本科,1-3年,15001-20000元/月,10000人,,http://jobs.zhaopin.com/146033881263489.htm
三维动画师,深圳晟钬数码科技有限公司,,大专,1-3年,5000-10000元/月,20人,,http://jobs.zhaopin.com/CZ774755990J00007006508.htm
机器视觉研发工程师,富士康科技集团,,不限,,15001-20000元/月,10000人,,http://jobs.zhaopin.com/146033881263488.htm
AR/VR产品经理,深圳中骏瑞驰贸易发展有限公司,,本科,3-5年,10000-20000元/月,100-499人,,http://jobs.zhaopin.com/400576231250010.htm
SLAM定位导航算法工程师,富士康科技集团,,本科,1-3年,15001-20000元/月,10000人,,http://jobs.zhaopin.com/146033881263487.htm
嵌入式软件工程师,浩德科技股份有限公司,,本科,3-5年,8001-10000元/月,100-499人,,http://jobs.zhaopin.com/120482196250284.htm
环境感知研发工程师,富士康科技集团,,本科,1-3年,15001-20000元/月,10000人,,http://jobs.zhaopin.com/146033881263486.htm
影视后期,深圳市知学云科技有限公司,,大专,1-3年,6000-9000元/月,100-499人,,http://jobs.zhaopin.com/333250236250056.htm
3D动画模型师,深圳晟钬数码科技有限公司,,大专,1-3年,5000-8000元/月,20人,,http://jobs.zhaopin.com/CZ774755990J00003612108.htm
ID设计工程师,深圳腾千里科技有限公司,,本科,3-5年,8001-10000元/月,20-99人,,http://jobs.zhaopin.com/675833628250038.htm
平面设计师/淘宝美工/广告设计,深圳市威智康技术有限公司,,大专,,4000-8000元/月,20人,,http://jobs.zhaopin.com/278088035250007.htm
深圳Windows应用开发工程师,北京微视新纪元科技有限公司,,本科,3-5年,4000-8000元/月,100-499人,,http://jobs.zhaopin.com/120504200250583.htm
