职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
算法工程师（IVD）,江苏康尚生物医疗科技有限公司,,硕士或以上,2年工作经验,10-20万,,,https://www.liepin.com/job/197422606.shtml
高级图象算法工程师,泰爻光电,,本科或以上,2年工作经验,18-36万,,,https://www.liepin.com/job/197659094.shtml
算法工程师,蓝韵医学影像,,硕士或以上,3年工作经验,18-30万,,,https://www.liepin.com/job/196401560.shtml
高级linux驱动工程师,同为数码,,本科或以上,5年工作经验,18-30万,,,https://www.liepin.com/job/193725721.shtml
高级光学工程师,瀚海基因,,本科或以上,3年工作经验,面议,,,https://www.liepin.com/job/198239908.shtml
FPGA开发,深圳市超节点网络科技有限公司,,本科或以上,3年工作经验,12-24万,,,https://www.liepin.com/job/198359579.shtml
视觉算法工程师,道通科技,,硕士或以上,1年工作经验,30-60万,,,https://www.liepin.com/job/198337005.shtml
电路设计,深圳市超节点网络科技有限公司,,本科或以上,3年工作经验,12-24万,,,https://www.liepin.com/job/198383595.shtml
高级视觉算法工程师,众为创造,,本科或以上,2年工作经验,18-28万,,,https://www.liepin.com/job/198481850.shtml
机器视觉工程师,源明杰科技,,大专或以上,3年工作经验,10-12万,,,https://www.liepin.com/job/198389885.shtml
资深软件开发工程师,深圳市华信天线技术有限公司,,本科或以上,5年工作经验,18-30万,,,https://www.liepin.com/job/198467148.shtml
视觉算法组长,真玫智能科技(深圳)有限公司,,硕士或以上,5年工作经验,24-48万,,,https://www.liepin.com/job/197917841.shtml
产品经理（罗湖）,深圳世联行地产顾问股份有限公司,,本科或以上,2年工作经验,12-24万,,,https://www.liepin.com/job/198082129.shtml
嵌入式应用软件工程师,深网视界,,本科或以上,2年工作经验,12-24万,,,https://www.liepin.com/job/198170781.shtml
搜索引擎算法工程师,零壹移动,,本科或以上,5年工作经验,24-48万,,,https://www.liepin.com/job/198079932.shtml
画质软件工程师-PQ,晶晨半导体,,本科或以上,1年工作经验,18-36万,,,https://www.liepin.com/job/198203994.shtml
深度学习研究员（互联网+教育）,海云天,,本科或以上,1年工作经验,29-56万,,,https://www.liepin.com/job/198215170.shtml
IOS工程师,深圳云消费网络科技有限公司,,大专或以上,2年工作经验,11-12万,,,https://www.liepin.com/job/198230232.shtml
CPU集群工程师（互联网+教育）,海云天,,本科或以上,1年工作经验,21-40万,,,https://www.liepin.com/job/198215168.shtml
深度学习工程师,海云天,,本科或以上,1年工作经验,21-40万,,,https://www.liepin.com/job/198215171.shtml
高级策略研发工程师,优点网络科技(深圳)有限公司,,本科或以上,3年工作经验,24-42万,,,https://www.liepin.com/job/197847008.shtml
网络管理员,科盾科技,,本科或以上,2年工作经验,5-7万,,,https://www.liepin.com/job/197205956.shtml
技术经理,北京赢康科技股份有限公司,,学历不限,5年工作经验,10-11万,,,https://www.liepin.com/job/194707572.shtml
机器人应用软件开发工程师,深圳市佳康捷科技有限公司,,大专或以上,2年工作经验,10-24万,,,https://www.liepin.com/job/195639381.shtml
大数据工程师,大数金融,,本科或以上,经验不限,24-30万,,,https://www.liepin.com/job/194928122.shtml
产品经理,深圳视觉科技有限公司,,本科或以上,经验不限,17-18万,,,https://www.liepin.com/job/196669857.shtml
机器视觉软件开发工程师,深圳市佳康捷科技有限公司,,学历不限,经验不限,10-24万,,,https://www.liepin.com/job/195507963.shtml
机器视觉软件工程师,昂纳,,本科或以上,3年工作经验,面议,,,https://www.liepin.com/job/197734319.shtml
高级策略研发工程师,优点网络科技(深圳)有限公司,,本科或以上,3年工作经验,24-42万,,,https://www.liepin.com/job/197847008.shtml
机器视觉软件工程师,昂纳,,本科或以上,3年工作经验,面议,,,https://www.liepin.com/job/197734319.shtml
应用软件工程师,轴心自控,,本科或以上,3年工作经验,面议,,,https://www.liepin.com/job/197734581.shtml
视觉算法组长,真玫智能科技(深圳)有限公司,,硕士或以上,5年工作经验,24-48万,,,https://www.liepin.com/job/197917841.shtml
嵌入式应用软件工程师,深网视界,,本科或以上,2年工作经验,12-24万,,,https://www.liepin.com/job/198170781.shtml
搜索引擎算法工程师,零壹移动,,本科或以上,5年工作经验,24-48万,,,https://www.liepin.com/job/198079932.shtml
高级硬件工程师,深圳市汉森软件有限公司,,本科或以上,5年工作经验,22-30万,,,https://www.liepin.com/job/198325799.shtml
视觉工程师 U,策维科技,,本科或以上,2年工作经验,7-18万,,,https://www.liepin.com/job/198339893.shtml
QT软件开发工程师,深圳市畅飞扬信息系统有限公司,,大专或以上,3年工作经验,12-18万,,,https://www.liepin.com/job/198276688.shtml
C++开发工程师,飞瑞斯科技,,本科或以上,3年工作经验,12-18万,,,https://www.liepin.com/job/198322809.shtml
家具规划设计,深圳市优合环境工程设计有限公司,,大专或以上,3年工作经验,5-7万,,,https://www.liepin.com/job/198349726.shtml
视觉算法工程师C++,深圳市超节点网络科技有限公司,,本科或以上,3年工作经验,18-36万,,,https://www.liepin.com/job/198383823.shtml
产品经理（罗湖）,深圳世联行地产顾问股份有限公司,,本科或以上,2年工作经验,12-24万,,,https://www.liepin.com/job/198082129.shtml
量化投资经理/总监（金融）,唐商投资,,硕士或以上,3年工作经验,面议,,,https://www.liepin.com/job/198533143.shtml
软件工程师,道通科技,,本科或以上,3年工作经验,面议,,,https://www.liepin.com/job/198377294.shtml
品牌经理/主管,深圳佳兆业城市更新集团,,本科或以上,2年工作经验,12-24万,,,https://www.liepin.com/job/198532755.shtml
